"Defendant.Id","Republican.Judge","Severity.Of.Crime","Months.In.Jail","Recidivates"
450,1,2,31.5,1
451,0,3,57.8,0
452,1,2,21,1
453,0,3,44.3,0
454,0,1,4,0
455,1,1,2.3,0
456,0,2,15.7,0
457,0,3,44,0
458,1,1,2.3,0
459,1,3,52.5,1
460,0,3,48.9,1
461,1,2,24,1
462,0,3,0,0
463,1,3,45,1
464,0,2,17.6,1
465,1,1,5.6,0
466,1,3,50.8,0
467,1,1,0,1
468,0,2,10.5,0
469,0,1,4.8,0
470,1,1,0,0
471,0,1,1.4,1
472,0,2,13.4,1
473,1,1,3.4,0
474,1,1,2.2,1
475,0,1,0,0
476,0,1,0,0
477,0,2,12.5,1
478,0,3,47.7,1
479,1,3,47.9,0
480,1,1,5.3,1
481,0,2,0,0
482,0,1,5.7,0
483,1,3,38.6,1
484,1,3,55.6,0
485,0,3,53.9,1
486,0,3,51.1,0
487,1,3,46.9,0
488,1,1,0,0
489,1,3,57,0
490,0,1,5,0
491,1,3,0,0
492,0,1,1.5,0
493,0,3,36.9,1
494,0,1,3.9,0
495,0,1,5.1,0
496,1,3,55.9,0
497,0,3,52.7,0
498,1,3,39,0
499,0,3,39.4,1
500,0,1,4.1,0
501,0,1,2.4,0
502,0,1,3.5,1
503,1,2,23.3,1
504,0,1,0,0
505,1,1,0.6,0
506,0,2,7.7,0
507,0,3,38.5,1
508,0,1,5.2,0
509,1,3,0,1
510,0,2,6.5,0
511,0,2,8.7,0
512,0,3,51.7,0
513,0,3,59.1,1
514,1,1,1,0
515,0,2,0,0
516,0,2,15,0
517,0,2,15.1,0
518,1,2,15.4,1
519,1,2,32.4,1
520,0,1,4,0
521,1,2,25.2,1
522,0,1,4.1,1
523,1,1,5.6,0
524,1,2,31.1,1
525,0,2,18,0
526,1,2,35.1,1
527,0,3,59.4,0
528,1,3,55.6,1
529,1,1,1.4,0
530,0,1,1.2,0
531,0,3,39.2,1
532,1,1,5.1,0
533,1,3,0,1
534,0,3,49.6,0
535,0,2,14.5,0
536,0,1,3,0
537,0,3,46.1,1
538,0,3,42,0
539,0,3,40.1,0
540,0,2,11.9,0
541,1,1,0,0
542,1,1,0,0
543,0,2,17.9,0
544,1,2,14.3,0
545,0,1,0,0
546,0,1,0,1
547,1,3,54.5,1
548,0,1,1.9,1
549,0,2,8.1,0
550,1,3,41.2,0
551,1,1,0,0
552,0,1,0,0
553,0,3,48.2,0
554,0,3,53.7,1
555,0,1,3.3,0
556,0,2,15.8,0
557,1,3,52.4,0
558,1,1,2.7,0
559,0,3,42.8,0
560,1,2,28.3,1
561,0,3,0,1
562,1,1,4.9,0
563,0,1,3.4,1
564,0,2,13.9,0
565,1,3,53.8,0
566,0,1,0,0
567,1,3,42.9,0
568,1,3,41,1
569,0,2,6.1,0
570,0,2,17.1,1
571,0,1,2.7,0
572,0,2,14.3,0
573,0,2,12.2,0
574,0,3,0,0
575,0,2,10.4,0
576,1,2,34,1
577,0,2,14.1,0
578,0,2,6.5,0
579,1,1,5.2,0
580,1,2,27.6,1
581,1,3,51,1
582,1,1,5.6,1
583,0,1,1.8,0
584,0,3,58.6,1
585,1,2,26.6,1
586,1,1,0.6,0
587,1,3,57.5,0
588,0,2,16.3,0
589,1,3,43.2,1
590,1,1,1.5,0
591,1,1,1.1,0
592,0,1,2.1,0
593,0,1,3.1,0
594,0,3,39.8,1
595,0,3,39.7,1
596,1,1,2.4,0
597,0,2,18,0
598,0,3,46,0
599,0,1,4.3,1
600,0,3,53.8,0
601,1,2,29,1
602,1,1,1.7,0
603,1,1,0,1
604,1,1,0.9,0
605,1,3,0,0
606,1,2,0,0
607,1,1,0,0
608,1,1,1.1,1
609,0,2,7,0
610,0,1,4.7,0
611,0,1,0,0
612,0,3,43.1,0
613,1,2,0,0
614,0,1,0,0
615,1,2,30.6,1
616,0,2,11.3,1
617,0,2,13.5,0
618,1,3,59.5,0
619,0,1,1.5,0
620,1,3,0,0
621,0,2,7.6,0
622,1,1,0,0
623,1,3,52.2,1
624,1,3,42.8,1
625,1,3,40.9,1
626,1,3,36.3,0
627,0,3,58.5,1
628,1,1,2.9,0
629,0,1,2.7,0
630,0,2,0,0
631,1,3,43,0
632,1,2,23,0
633,1,1,3.3,1
634,1,3,40.8,0
635,0,2,7.4,0
636,1,1,5.9,0
637,1,3,37.8,0
638,0,3,59.2,1
639,1,1,3.4,1
640,1,1,0,0
641,0,3,39.7,0
642,1,1,3.9,0
643,0,2,13.1,1
644,1,1,4.2,0
645,1,1,3.3,0
646,0,2,13.6,0
647,0,1,5.1,0
648,0,1,4.5,1
649,1,3,0,0
650,1,1,0.5,0
651,1,3,55.8,0
652,0,2,6,0
653,1,1,1.2,0
654,0,1,1.8,0
655,0,2,6.8,0
656,1,2,16.8,1
657,0,3,43.9,1
658,0,3,48.7,1
659,1,1,0.3,0
660,0,2,0,0
661,0,1,4.6,0
662,1,3,0,0
663,0,1,0.7,1
664,0,2,9.1,0
665,0,3,38.3,1
666,0,1,0,0
667,1,2,20,0
668,1,3,41,0
669,0,3,40.5,1
670,1,2,21.4,1
671,0,1,0.5,0
672,1,3,0,1
673,0,1,1.4,0
674,1,1,4.8,0
675,0,3,42.9,0
676,0,1,5.5,1
677,0,1,3.4,0
678,1,1,0,0
679,0,1,0,1
680,1,3,58.8,0
681,0,1,5.8,0
682,0,3,0,1
683,0,2,14.1,0
684,0,1,4.4,0
685,0,2,16.9,0
686,1,1,2.3,0
687,1,3,45.7,0
688,0,2,0,0
689,1,1,0.3,0
690,1,3,0,1
691,0,2,0,0
692,0,1,0,1
693,1,3,0,1
694,0,1,3.2,0
695,1,3,49.3,0
696,1,1,4.4,0
697,1,1,2.1,1
698,0,1,5.8,0
699,0,3,59.4,0
700,1,1,1,0
701,1,2,35.7,1
702,1,2,35.3,1
703,1,1,2.9,0
704,0,1,2.5,0
705,1,3,0,1
706,1,1,2.6,0
707,0,1,3.5,0
708,0,2,0,0
709,1,2,22.8,0
710,1,3,39.5,1
711,0,1,4.6,1
712,0,1,0,0
713,1,1,0.1,0
714,0,3,0,0
715,0,2,9.9,0
716,1,1,0.3,1
717,0,1,2,0
718,0,2,16,0
719,0,3,51.4,0
720,0,3,55.8,1
721,1,1,3.6,0
722,1,3,36.7,1
723,1,1,0,0
724,0,2,17.8,0
725,1,3,39.5,0
726,1,3,0,0
727,1,2,16.5,1
728,0,1,1.8,1
729,0,3,45,1
730,0,3,54.8,0
731,0,1,2.1,0
732,0,3,39,1
733,1,2,0,0
734,1,1,2.6,0
735,1,3,53.7,0
736,1,1,3.4,0
737,1,2,0,0
738,0,1,5.5,0
739,1,1,0,0
740,0,1,0.9,0
741,1,3,0,1
742,0,2,15.1,0
743,1,2,23,0
744,0,3,42.4,1
745,0,3,40.2,1
746,0,1,0,0
747,1,1,3.3,0
748,1,2,0,0
749,1,2,29.3,1
750,1,2,27.3,1
751,0,2,8.1,0
752,1,3,36.7,1
753,1,2,13.3,0
754,1,3,58.4,0
755,1,1,1.7,0
756,1,1,2.8,0
757,1,3,53,1
758,0,1,0,1
759,0,2,0,0
760,1,2,27.8,1
761,0,3,0,1
762,1,1,2.3,0
763,0,2,11.1,0
764,1,2,33.9,1
765,0,3,49.1,0
766,0,3,56.6,0
767,0,3,38.4,0
768,0,1,2,0
769,0,1,5.1,0
770,1,1,4.9,0
771,0,3,56.9,0
772,1,1,5.1,0
773,1,2,30.8,1
774,1,2,0,0
775,1,1,0,1
776,1,1,0,0
777,0,3,47.9,0
778,1,3,56.6,0
779,0,2,0,0
780,0,1,4.1,0
781,1,3,0,1
782,0,3,41,1
783,1,3,46.2,1
784,1,1,5.5,1
785,0,1,1.7,0
786,1,3,40.5,0
787,1,1,4,0
788,1,3,57.4,1
789,1,3,56.7,0
790,1,2,0,0
791,0,1,4.2,0
792,1,2,18.2,0
793,1,1,0,1
794,1,1,0.3,0
795,1,1,2,1
796,0,1,4.4,0
797,0,2,8.9,0
798,0,2,12.6,1
799,1,1,0.7,0
800,0,3,51.6,0
801,1,2,16.4,1
802,1,1,4.1,0
803,1,1,5.4,0
804,0,1,2.9,0
805,0,1,5.6,0
806,1,2,32.3,1
807,0,1,3.3,0
808,0,1,0,1
809,1,2,31.6,1
810,0,1,1.1,0
811,0,2,13.2,0
812,1,1,0,0
813,1,2,23.1,1
814,1,3,49.3,0
815,1,2,34.6,1
816,1,2,28.4,1
817,1,2,0,0
818,1,3,59.4,0
819,0,1,4.3,0
820,1,1,3.1,0
821,1,1,1.6,0
822,1,1,3.9,0
823,0,3,44.2,0
824,0,3,0,1
825,0,2,9.6,0
826,1,1,1.7,0
827,1,2,30.4,1
828,1,1,2.8,1
829,0,2,9.6,0
830,0,2,17.3,0
831,0,2,6.4,0
832,1,2,25.4,1
833,0,1,4.4,1
834,1,2,35.9,1
835,1,1,0,0
836,0,3,49.4,1
837,1,1,3.2,0
838,0,2,7.4,0
839,1,3,59.2,1
840,0,1,5.7,0
841,0,2,9.8,0
842,0,3,46.2,0
843,0,2,6.3,0
844,1,2,27.2,1
845,1,2,14.3,0
846,0,3,42.2,1
847,1,3,39.8,1
848,0,1,4.7,0
849,1,2,0,0
850,1,3,36.9,1
851,0,1,3.4,0
852,1,3,59.1,1
853,0,2,13.4,0
854,1,1,0,1
855,0,1,5.1,0
856,1,1,3,1
857,1,1,5.6,0
858,1,2,0,0
859,1,3,48.2,1
860,1,2,16.2,0
861,1,2,12.4,0
862,1,1,0,0
863,0,3,38.7,0
864,1,1,1.5,0
865,0,2,14.5,1
866,1,1,5.2,0
867,0,2,6.4,0
868,0,1,4.2,0
869,1,2,25.2,0
870,1,1,3.8,0
871,1,2,35.1,1
872,1,2,33.5,1
873,1,1,0.8,1
874,1,1,5.7,0
875,0,2,6.8,0
876,0,2,8.2,0
877,1,1,0,0
878,0,2,11.5,0
879,0,1,5.8,0
880,1,3,0,1
881,0,1,1.1,0
882,0,3,0,0
883,0,1,0.3,0
884,1,1,0.3,0
885,0,2,8.3,0
886,0,2,12,1
887,0,3,44.6,0
888,0,1,2.2,0
889,1,2,26.6,1
890,0,3,47.6,0
891,1,3,36.9,1
892,0,2,12.1,0
893,0,1,5,0
894,1,2,17.5,1
895,1,1,0.8,0
896,1,3,43.9,1
897,1,1,4.7,1
898,1,3,38.1,1
899,0,2,10.5,0
900,0,3,36.6,0
901,0,1,1.8,0
902,0,1,4.9,0
903,0,1,1.4,1
904,1,1,5.1,0
905,1,1,1.5,0
906,0,2,0,0
907,0,3,44.6,0
908,1,2,32.7,1
909,1,1,0,1
910,0,2,6.2,0
911,1,3,52.7,0
912,0,2,7.5,0
913,1,2,0,0
914,1,3,42.7,0
915,1,2,20.7,0
916,1,3,54.9,1
917,0,1,0,0
918,0,3,57.8,1
919,0,2,0,0
920,0,3,49.3,0
921,1,3,42.8,1
922,0,2,7.7,0
923,0,2,11,0
924,1,1,4,0
925,0,3,43.5,1
926,0,1,0,0
927,0,2,10.9,1
928,1,3,51.4,1
929,1,3,0,1
930,0,1,3.9,0
931,1,1,5.2,0
932,0,1,5.2,1
933,0,3,39.9,0
934,0,2,17.6,0
935,1,1,4.2,0
936,1,2,0,0
937,1,1,2.3,0
938,1,1,5.6,0
939,0,3,41.5,1
940,0,1,1.8,0
941,0,1,2.4,0
942,0,2,0,0
943,1,3,55.2,1
944,0,2,17.9,1
945,1,3,43.6,1
946,0,1,2.6,0
947,1,1,1.3,1
948,1,2,0,0
949,1,3,47.7,0
950,0,1,1.7,0
951,0,2,0,0
952,1,3,58.5,0
953,1,1,4.2,1
954,1,2,0,0
955,1,1,0,0
956,1,1,2.7,0
957,1,1,0,0
958,0,2,11.7,0
959,1,3,0,1
960,1,2,0,0
961,0,2,11.4,0
962,1,2,31.4,1
963,1,3,45,0
964,1,1,2.8,1
965,0,3,38.4,1
966,0,1,0,0
967,0,3,42.4,0
968,0,2,0,0
969,0,2,11.8,1
970,0,2,0,0
971,0,1,0,0
972,1,2,31.8,1
973,1,3,0,1
974,1,2,28.1,1
975,1,3,0,1
976,1,3,0,1
977,0,3,60,1
978,0,3,0,1
979,1,1,4.5,0
980,1,1,5.5,0
981,0,2,6,0
982,1,2,0,0
983,1,3,40.5,1
984,1,3,55.9,0
985,0,2,13.1,0
986,0,3,57.9,1
987,1,2,29.1,1
988,0,2,11.2,1
989,1,3,40.6,0
990,1,1,5.8,0
991,1,2,0,0
992,1,1,1,0
993,0,1,4.8,1
994,1,2,24.5,1
995,0,2,12.3,0
996,0,2,8.8,0
997,0,3,0,1
998,0,2,16,0
999,1,2,21.1,1
1000,1,1,5.6,0
1001,1,1,0,0
1002,1,3,47.2,1
1003,0,2,9.7,0
1004,1,1,4.3,0
1005,1,2,21.8,0
1006,0,2,10.6,0
1007,1,2,0,0
1008,1,1,0,1
1009,0,3,53,0
1010,0,1,0,0
1011,1,1,1.9,1
1012,1,2,35.8,1
1013,0,3,43.5,1
1014,1,3,0,1
1015,1,1,4.9,0
1016,1,2,32.6,1
1017,0,3,53.3,0
1018,1,3,42.4,1
1019,1,2,0,0
1020,0,2,7.6,0
1021,1,3,44.6,1
1022,1,3,56,1
1023,0,2,0,0
1024,0,2,0,0
1025,1,3,0,0
1026,0,1,3.1,0
1027,0,1,2.1,0
1028,1,3,45.6,0
1029,1,1,1.7,0
1030,0,2,16.7,1
1031,1,1,0,0
1032,0,1,0.4,1
1033,1,1,3.9,0
1034,0,1,2.9,1
1035,1,1,3.8,1
1036,0,1,3.1,0
1037,0,3,55.2,1
1038,1,3,45,0
1039,0,1,2.4,0
1040,0,2,12.4,0
1041,0,3,40.8,1
1042,1,2,19.6,1
1043,1,1,0.4,0
1044,1,3,48.1,1
1045,0,3,43,0
1046,0,1,0,0
1047,0,2,0,0
1048,1,2,25.2,1
1049,1,2,0,0
1050,1,2,18.2,1
1051,1,3,45.5,1
1052,1,1,1.1,0
1053,0,2,6.2,0
1054,0,1,4.5,0
1055,1,1,2.2,0
1056,1,1,2.9,0
1057,0,2,16.9,0
1058,1,1,1.7,0
1059,1,1,0.7,0
1060,0,2,8.2,0
1061,0,2,6.4,0
1062,1,2,16.2,1
1063,1,3,46.3,1
1064,0,2,14.2,0
1065,1,3,42.4,1
1066,0,3,52.9,1
1067,1,3,54.2,1
1068,0,2,7.7,0
1069,1,3,51.7,0
1070,0,3,57,1
1071,0,2,8.3,0
1072,1,1,4.6,0
1073,0,1,3.9,0
1074,0,3,51,1
1075,0,1,0,0
1076,1,1,4.9,0
1077,1,3,56.4,1
1078,1,2,26.3,1
1079,1,3,49.3,1
1080,1,1,1.6,0
1081,1,2,16.9,0
1082,1,3,52.2,0
1083,0,3,0,1
1084,1,2,30.9,1
1085,0,2,9,0
1086,1,2,26.7,1
1087,0,1,5.9,0
1088,1,1,3.8,0
1089,1,1,0.9,0
1090,0,3,40,1
1091,1,2,0,0
1092,0,3,55.4,1
1093,0,2,0,0
1094,0,1,4.6,0
1095,0,2,8.4,0
1096,1,2,34.8,1
1097,0,2,0,0
1098,0,1,2.3,0
1099,0,1,0,0
1100,1,1,2.3,0
1101,0,2,0,0
1102,0,1,5.9,0
1103,0,2,7.3,0
1104,1,1,1.6,0
1105,1,3,58.1,1
1106,0,1,1.4,0
1107,0,3,50.8,1
1108,0,1,3.6,0
1109,1,1,4.7,1
1110,0,2,13.7,0
1111,0,3,0,1
1112,1,2,0,0
1113,1,3,53.2,0
1114,1,1,5.3,0
1115,1,1,4.9,1
1116,1,2,0,0
1117,1,1,5.1,1
1118,1,2,26.4,0
1119,1,3,44.9,1
1120,0,2,8.9,0
1121,0,2,6.1,0
1122,0,2,16,0
1123,1,1,1.6,0
1124,0,3,51.9,1
1125,0,2,14.5,0
1126,0,3,0,1
1127,1,2,26.8,1
1128,1,3,40,1
1129,1,3,45,0
1130,1,1,2.1,0
1131,1,2,17.5,0
1132,0,2,13.7,0
1133,0,3,55,1
1134,0,2,0,0
1135,0,3,41.1,1
1136,0,1,2.8,0
1137,1,3,40.3,1
1138,0,2,13.8,1
1139,0,3,0,1
1140,0,3,56.3,0
1141,0,2,7.8,0
1142,1,1,5.2,0
1143,1,3,45.4,0
1144,1,1,4.3,0
1145,1,1,5.7,1
1146,1,1,0,0
1147,0,3,0,1
1148,1,1,0.7,0
1149,0,1,5,0
1150,1,1,0,0
1151,0,3,39.7,1
1152,1,3,36.1,0
1153,0,1,1.9,0
1154,1,3,59.1,0
1155,0,1,0,0
1156,0,2,12.2,0
1157,0,3,48.5,0
1158,0,3,59.5,1
1159,0,2,15.5,1
1160,0,3,0,0
1161,1,3,55.9,0
1162,1,1,1.8,1
1163,1,1,1.2,0
1164,1,3,44.4,1
1165,1,2,26.2,1
1166,0,1,3.8,0
1167,0,3,56.4,1
1168,1,1,2.1,0
1169,0,1,2.5,0
1170,1,1,5.9,0
1171,0,3,53.4,1
1172,1,2,19.9,1
1173,0,1,0.1,0
1174,1,1,0,0
1175,1,3,58.4,0
1176,1,2,14.9,0
1177,1,2,24.6,1
1178,0,3,59.7,1
1179,1,1,0,1
1180,0,1,4.1,0
1181,1,2,33.8,1
1182,0,2,15.9,0
1183,1,1,0.4,0
1184,1,2,14.8,0
1185,0,1,4.3,0
1186,1,1,0,0
1187,1,2,0,0
1188,1,2,16.1,0
1189,0,3,45,1
1190,0,1,2.8,0
1191,0,2,16.8,1
1192,1,3,42.3,1
1193,1,3,51.8,1
1194,0,1,0,0
1195,1,1,2.3,0
1196,1,3,36.7,1
1197,0,2,6.2,0
1198,1,1,0,0
